34.13,-51.51,92.5,-24.0,3.5
154.27,-61.33,-24.2,5.6,3.5
46.29,38.84,128.3,-106.5,3.5
130.07,-52.92,-25.1,25.0,3.5
264.40,-15.40,-40.1,-60.7,3.6
79.40,-6.84,-15.3,-8.0,3.6
145.29,9.89,-142.2,-37.5,3.6
228.88,33.31,84.7,-110.9,3.6
262.77,-60.68,-56.8,-100.0,3.6
17.15,-10.18,217,-138.2,3.6
109.52,16.54,-45.9,-37.1,3.6
250.72,38.92,35.6,-84.5,3.6
193.90,3.40,-470.3,-52.4,3.6
225.49,40.39,-40.3,-28.1,3.6
42.50,27.26,67.9,-115.7,3.6
57.29,24.05,18.9,-45.0,3.6
342.50,24.60,146.2,-44.2,3.6
103.20,33.96,-1.9,-47.6,3.6
342.42,66.20,-65.9,-124.4,3.6
22.09,-43.32,-18,-208.6,3.6
302.18,-66.18,1211.2,-1131.0,3.6
55.81,-9.76,-93,742.5,3.6
282.52,33.36,1,-4.1,3.6
130.90,-33.19,-14.4,10.7,3.6
173.25,-31.86,-208.7,-41.8,3.6
67.15,19.18,106.7,-35.6,3.6
271.66,-50.09,-6.9,-12.6,3.6
169.62,33.09,-26.4,27.3,3.6
284.43,-21.11,34.4,-12.1,3.6
72.80,5.61,-3.1,0.7,3.6
176.40,-66.73,-97.8,33.5,3.6
154.99,19.84,306.4,-160.8,3.6
177.67,1.76,740.3,-271.7,3.6
236.55,15.42,67.2,-43.7,3.7
105.43,-27.93,-6,3.8,3.7
142.67,-40.47,-191.4,73.2,3.7
116.11,24.40,-28.1,-54.2,3.7
299.69,19.49,65.5,23.3,3.7
231.96,29.11,-181.5,85.2,3.7
4.86,-8.82,-14.7,-37.5,3.7
309.39,14.60,109.9,-37.2,3.7
124.13,9.19,-46.8,-49.3,3.7
85.19,-1.94,4,2.5,3.7
51.20,9.03,-66.4,-77.8,3.7
152.65,-12.35,-204.4,-86.7,3.7
217.96,30.37,-102.1,120.6,3.7
22.87,15.35,25.5,-1.5,3.7
266.43,-64.72,-11.5,-57.9,3.7
237.70,4.48,128.5,62.2,3.7
221.56,1.89,-116.6,-23.1,3.7
24.50,48.63,60.9,-112.4,3.7
230.45,-36.26,-91.4,-85.6,3.7
185.34,-60.40,-171.2,91.0,3.7
195.57,-71.55,258,-22.0,3.7
266.97,2.71,-23.2,-74.9,3.7
64.95,15.63,116,-22.7,3.8
234.26,-28.14,-12.3,-2.3,3.8
311.92,-9.50,33.1,-35.7,3.8
83.00,-0.30,1.7,0.6,3.8
264.87,46.01,-9.1,3.2,3.8
253.65,-42.36,-124.2,-227.5,3.8
209.57,-42.10,-23.6,-20.3,3.8
292.43,51.73,20.6,129.6,3.8
318.70,38.05,158.7,431.3,3.8
313.70,-58.45,20.4,-24.7,3.8
269.44,29.25,83.8,-19.7,3.8
349.29,3.28,759.6,17.8,3.8
28.99,-51.61,676.4,293.3,3.8
133.76,-60.64,-24.4,40.2,3.8
188.12,-72.13,-50,-4.7,3.8
158.20,9.31,-6.8,-2.9,3.8
116.31,-37.97,-9.2,6.8,3.8
298.83,6.41,45.8,-481.6,3.8
118.05,-40.58,-11.4,7.6,3.8
331.75,25.35,297.4,26.4,3.8
209.67,-44.80,-28.1,-22.3,3.8
56.30,42.58,-15.5,2.9,3.8
53.23,-9.46,-976.1,18.1,3.8
176.51,47.78,-138.8,28.4,3.8
271.89,28.76,0.5,8.0,3.8
89.88,54.28,81.2,-126.8,3.8
227.98,-48.74,-96.5,-50.0,3.8
239.22,-29.21,-15.2,-24.7,3.8
153.68,-42.12,-150.6,50.9,3.8
189.43,-48.54,-185.1,-6.8,3.8
156.97,-58.74,-12.2,2.5,3.8
56.46,24.37,21.5,-43.9,3.8
27.87,-10.34,37.6,-40.6,3.9
235.69,26.30,-107,47.8,3.9
138.59,2.31,127.2,-309.3,3.9
268.38,56.87,93.9,79.6,3.9
244.94,46.31,-12.5,40.4,3.9
65.73,17.54,107.7,-28.4,3.9
107.19,-70.50,22.7,111.2,3.9
286.17,-21.74,76.5,-57.4,3.9
187.01,-50.23,-32.5,-12.9,3.9
136.04,-47.10,-45.8,-10.5,3.9
86.82,-51.07,4.1,83.3,3.9
170.25,-54.49,-39.6,-2.7,3.9
184.98,-0.67,-63.9,-19.0,3.9
131.51,-46.04,-13.3,3.7,3.9
200.98,54.92,121.2,-22,3.9
87.83,-20.88,229.2,-648.0,3.9
316.23,43.93,9,0.1,3.9
130.16,-46.65,-5.8,4.4,3.9
163.37,-58.85,78.8,37.5,3.9
289.28,53.37,60.9,122.7,3.9
126.43,-66.14,-35.2,-152.3,3.9
111.43,27.80,-122.2,-84.2,3.9
75.62,41.08,9.4,-23.1,3.9
60.79,5.99,4.5,-2.3,3.9
47.37,44.86,176.9,-146.3,3.9
255.07,30.93,-47.9,27.5,3.9
163.33,34.21,89.4,-283.3,3.9
146.31,-62.51,-11.6,9.2,3.9
56.08,32.29,9.3,-13.7,3.9
68.89,-30.56,-48.3,-11.0,3.9
49.88,-21.76,50.6,31.6,3.9
83.41,-62.49,2.8,11.5,3.9
137.82,-62.32,-38.5,14.9,3.9
182.91,-52.37,-38.1,-14.2,3.9
290.97,-40.62,33.1,-120.7,3.9
303.41,46.74,3.5,3.3,3.9
95.53,-33.44,-25.3,-53.9,3.9
252.45,-59.04,39.8,-25.4,3.9
314.29,41.17,11.6,-14.0,3.9
290.66,-44.46,6.9,-20.1,3.9
290.42,-17.85,-25.7,21.4,3.9
